caseName,IVT,U925,V925,WS925,WD925,LTS
ish_20040329,262.3729721313246,3.131053,-0.48126623,3.167824,278.73839950561523,18.533000000000015
ish_20040331,265.1493642765229,-4.0543194,-4.117745,5.778696,44.55531311035156,17.915999999999997
ish_20040405,75.75797513326779,-3.1983814,-2.5701103,4.103061,51.2158203125,21.05699999999996
ish_20040406,74.4487272371802,-0.74972105,1.1864091,1.4034415,147.71021270751953,15.15100000000001
ish_20040410,140.34478406172596,-6.14727,-0.7771244,6.196197,82.79501342773438,16.244000000000028
ish_20040411,142.651468223521,-3.1696022,0.009438259,3.1696162,90.17062377929688,14.946000000000026
ish_20040412,136.5331245971936,-3.151893,0.835756,3.2608154,104.85079956054688,16.456999999999994
ish_20040416,190.14334495246894,-0.11586764,-3.4198618,3.421824,1.9404754638671875,16.390000000000043
ish_20040417,145.06814294346975,-1.2096305,1.4920259,1.9207673,140.96726989746094,16.750999999999976
ish_20040418,403.7120175378517,-3.5799408,9.366197,10.027044,159.08218383789062,15.252999999999986
ish_20040419,478.7192369286783,3.5975578,5.9202714,6.9276285,211.28570175170898,14.175000000000011
ish_20040420,90.20369943640131,-2.7895718,-2.8009052,3.9530723,44.88383483886719,17.932999999999993
ish_20040421,118.46115559142022,-4.472798,1.8570908,4.843006,112.54806518554688,16.043999999999983
ish_20040425,219.69028326267747,-9.066758,-2.2613027,9.344495,75.99578857421875,15.034000000000049
ish_20040426,291.13595637315126,-3.1564023,7.0080132,7.6860347,155.75325775146484,14.882000000000005
ish_20040428,118.89038486551863,-4.0917583,-4.4389496,6.037115,42.669403076171875,21.04200000000003
ish_20040429,148.489986890503,-4.9039397,-0.12257308,4.9054713,88.56819152832031,17.476
ish_20040430,111.16668530592798,-3.9733646,3.5235174,5.310631,131.5661163330078,18.677999999999997
ish_20041011,92.57817134171647,-0.811244,-3.5214336,3.61367,12.973068237304688,14.177999999999997
ish_20041031,119.96642783361192,-1.0946728,-3.705849,3.8641462,16.456634521484375,11.263000000000034
ish_20041103,107.13870898142827,-3.5078013,-5.1937137,6.2673225,34.03483581542969,17.120000000000005
ish_20041104,131.87950473626043,-4.1101565,-4.625894,6.188076,41.621429443359375,15.717000000000041
ish_20041105,178.20432639738786,-5.294734,-1.0678767,5.4013486,78.59716796875,13.132000000000005
ish_20041106,172.88631973222752,-7.419562,-0.973537,7.483159,82.52479553222656,11.002999999999986
ish_20041107,183.5324339934217,-6.640058,-0.5899761,6.6662164,84.92253112792969,12.393000000000029
ish_20041108,183.14915057755815,-5.579778,-3.3967292,6.532357,58.668731689453125,14.325999999999965
ish_20041109,217.59677224323954,-7.43898,1.4950339,7.5877237,101.36354064941406,12.717999999999961
ish_20041110,209.8958869395514,-5.0156274,5.6891694,7.584403,138.60028076171875,12.424999999999955
ish_20041111,126.09681171292767,-3.1693494,4.219725,5.277391,143.09054565429688,15.437999999999988
ish_20041113,359.30108868901584,-10.523987,-1.484073,10.628113,81.97317504882812,14.264999999999986
ish_20041124,294.38551492964797,-9.778034,-1.3180712,9.866472,82.32283020019531,14.878000000000043
ish_20041125,297.73122452914345,-8.158394,-3.6865718,8.952664,65.6829833984375,16.22399999999999
ish_20041201,218.07530898419205,-8.419656,-5.206722,9.899523,58.267303466796875,19.729000000000042
ish_20041206,125.10585361972267,-3.5690906,-6.2188587,7.1702585,29.85211181640625,17.576999999999998
